id,popularity,budget,revenue,original_title,director,runtime,genres,release_date,vote_count,vote_average,release_year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Not specified,Romance,Science Fiction,TV Movie,Thriller,War,Western
135397,32.985763,150000000,1513528810,Jurassic World,Colin Trevorrow,124,Action|Adventure|Science Fiction|Thriller,2015-06-09,5562,6.5,2015,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
76341,28.419936,150000000,378436354,Mad Max: Fury Road,George Miller,120,Action|Adventure|Science Fiction|Thriller,2015-05-13,6185,7.1,2015,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
262500,13.112507,110000000,295238201,Insurgent,Robert Schwentke,119,Adventure|Science Fiction|Thriller,2015-03-18,2480,6.3,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
140607,11.173103999999999,200000000,2068178225,Star Wars: The Force Awakens,J.J. Abrams,136,Action|Adventure|Science Fiction|Fantasy,2015-12-15,5292,7.5,2015,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
168259,9.335014,190000000,1506249360,Furious 7,James Wan,137,Action|Crime|Thriller,2015-04-01,2947,7.3,2015,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
281957,9.1107,135000000,532950503,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,Western|Drama|Adventure|Thriller,2015-12-25,3929,7.2,2015,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
87101,8.654359,155000000,440603537,Terminator Genisys,Alan Taylor,125,Science Fiction|Action|Thriller|Adventure,2015-06-23,2598,5.8,2015,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
286217,7.6674,108000000,595380321,The Martian,Ridley Scott,141,Drama|Adventure|Science Fiction,2015-09-30,4572,7.6,2015,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
211672,7.40416499999999,74000000,1156730962,Minions,Kyle Balda|Pierre Coffin,91,Family|Animation|Adventure|Comedy,2015-06-17,2893,6.5,2015,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150540,6.326804,175000000,853708609,Inside Out,Pete Docter,94,Comedy|Animation|Family,2015-06-09,3935,8.0,2015,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
206647,6.200282,245000000,880674609,Spectre,Sam Mendes,148,Action|Adventure|Crime,2015-10-26,3254,6.2,2015,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76757,6.189369,176000003,183987723,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,124,Science Fiction|Fantasy|Action|Adventure,2015-02-04,1937,5.2,2015,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
264660,6.118847,15000000,36869414,Ex Machina,Alex Garland,108,Drama|Science Fiction,2015-01-21,2854,7.6,2015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
257344,5.984995,88000000,243637091,Pixels,Chris Columbus,105,Action|Comedy|Science Fiction,2015-07-16,1575,5.8,2015,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
99861,5.944927,280000000,1405035767,Avengers: Age of Ultron,Joss Whedon,141,Action|Adventure|Science Fiction,2015-04-22,4304,7.4,2015,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
273248,5.8984,44000000,155760117,The Hateful Eight,Quentin Tarantino,167,Crime|Drama|Mystery|Western,2015-12-25,2389,7.4,2015,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
260346,5.749758,48000000,325771424,Taken 3,Olivier Megaton,109,Crime|Action|Thriller,2015-01-01,1578,6.1,2015,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
102899,5.5731839999999995,130000000,518602163,Ant-Man,Peyton Reed,115,Science Fiction|Action|Adventure,2015-07-14,3779,7.0,2015,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
150689,5.556818,95000000,542351353,Cinderella,Kenneth Branagh,112,Romance|Fantasy|Family|Drama,2015-03-12,1495,6.8,2015,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
131634,5.476958,160000000,650523427,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,136,War|Adventure|Science Fiction,2015-11-18,2380,6.5,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
158852,5.4621379999999995,190000000,209035668,Tomorrowland,Brad Bird,130,Action|Family|Science Fiction|Adventure|Mystery,2015-05-19,1899,6.2,2015,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
